numero_ej,nom_du_projet,nom_fournisseur,montant_engage,numero_ds,source
2104399460,"Mise en place de la signalétique marine liée à l’extension de la RNN des Sept-Îles, seconde réserve marine en surface de l’hexagone",LIGUE FRANCAISE PROTECTION OISEAUX, 15 042.00,16727889,DREAL
2104399463,"Conservation de la mulette perlière (Margaritifera margaritifera) en Bretagne, année 2024",BRETAGNE VIVANTE SEPNB, 21 350.00,17853890,DREAL
2104399540,Acquisitions en aires protégées,CONSERVATOIRE D ESPA, 79 073.99,17214894,DREAL
2104400273,Gestion de la réserve naturelle nationale de Chastreix-Sancy - mise en œuvre du plan de gestion 2022-2031,SM PARC DES VOLCANS SMPV, 52 435.00,16901277,DREAL
2104401962,Projet d'extension de la Réserve Naturelle Nationale François Le Bail,BRETAGNE VIVANTE SEPNB, 47 442.00,17744071,DREAL
2104408011,Création d'un nouveau centre d'élevage conservatoire pour visons d'Europe et enclos de pré-relâcher,RESERVE ZOOLOGIQUE DE CALVIAC, 196 870.00,17044812,DREAL
2104408512,Ingénierie territoriale préalable à la conception de projets de biodiversité avec le territoire,POUR LE DEVELOPPEMENT ET LA PROMOTI, 275 400.00,14344740,DREAL
2104408739,Protection des dunes de la Réserve naturelle vis à vis de la fréquentation humaine et notamment des activités touristiques du camping.,CA SAINT BRIEUC ARMOR AGGLOMERATION, 14 472.66,17603772,DREAL
2104409076,Favoriser la biodiversité (chiroptères et avifaune) dans le bâti et les milieux anthropisés,ASS LA CHAINE DES TERRILS, 458 940.00,15229396,DREAL
2104409080,"ECOLAG ""Landes de Gascogne"" 2024-2027 : Conservation et restauration écologique des lagunes des Landes de Gascogne",ASYMIX CONSERVATOIRE BOTANIQUE, 118 492.00,17068743,DREAL
2104409321,Dispositif d'Observation du Patrimoine Ecologique,SYNDICAT MIXTE DU PNRQ, 143 945.00,12235648,DREAL
